song_id	title	work_title	subtitle	lyricist_raw	lyricist_norm	composer_raw	composer_norm	artist	song_type	brand_id	parent_song_id	is_version	interface_key	jasrac_code	jasrac_title	match_status	note
sc_常咲の庭	常咲の庭	常咲の庭		古屋真	古屋真	田熊知存(Dream Monster)	田熊知存(Dream Monster)	杜野凛世	solo	sc			imasdb-c053dd605c4e			unmatched	
sc_平行線の美学	平行線の美学	平行線の美学		園田健太郎	園田健太郎	ねりきり(KEYTONE)	ねりきり(KEYTONE)	コメティック(斑鳩ルカ、鈴木羽那、郁田はるき)	unit	sc			imasdb-30794ece6867			unmatched	
sc_幻惑silhouette	幻惑SILHOUETTE	幻惑SILHOUETTE		真崎エリカ	真崎エリカ	no_my	no_my	アンティーカ(月岡恋鐘、田中摩美々、白瀬咲耶、三峰結華、幽谷霧子)	unit	sc			imasdb-4e9252d7fe82			unmatched	
sc_快盗vを見逃すな	快盗Vを見逃すな	快盗Vを見逃すな		古屋真	古屋真	常楽寺澪、popopo	常楽寺澪;popopo	放課後クライマックスガールズ(小宮果穂、園田智代子、西城樹里、杜野凛世、有栖川夏葉)	unit	sc			imasdb-84c8f5a09476			unmatched	
sc_想像のつばさ	想像のつばさ	想像のつばさ		前田甘露	前田甘露	高田暁	高田暁	櫻木真乃	solo	sc			imasdb-8189e25e8609			unmatched	
sc_愚者の独白	愚者の独白	愚者の独白		真崎エリカ	真崎エリカ	ArmySlick、Lauren Kaori	ArmySlick;Lauren Kaori	アンティーカ(月岡恋鐘、田中摩美々、白瀬咲耶、三峰結華、幽谷霧子)	unit	sc			imasdb-9a23cc56c8f9			unmatched	
sc_愛しき日々	愛しき日々	愛しき日々		秋浦智裕	秋浦智裕	前口ワタル	前口ワタル	ノクチル(浅倉透、樋口円香、福丸小糸、市川雛菜)	unit	sc			imasdb-3e6780266d1d			unmatched	
sc_愛なview	愛なView	愛なView		渡邊亜希子	渡邊亜希子	原田雄一、奥野涼	原田雄一;奥野涼	シャイニーカラーズ(櫻木真乃、風野灯織、八宮めぐる、月岡恋鐘、田中摩美々、白瀬咲耶、三峰結華、幽谷霧子、小宮果穂、園田智代子、西城樹里、杜野凛世、有栖川夏葉、大崎甘奈、大崎甜花、桑山千雪、芹沢あさひ、黛冬優子、和泉愛依、浅倉透、樋口円香、福丸小糸、市川雛菜、七草にちか、緋田美琴、斑鳩ルカ、鈴木羽那、郁田はるき)	all	sc			imasdb-58a1dbae5488			unmatched	
sc_感謝のコントレイル	感謝のコントレイル	感謝のコントレイル		RUCCA、BlasTrain(Rap詞)	RUCCA;BlasTrain(Rap詞)	菊池博人(KEYTONE)、小池竜暉、Hayato Yamamoto、YUUKI SANO	菊池博人(KEYTONE);小池竜暉;Hayato Yamamoto;YUUKI SANO	シャイニーカラーズ(櫻木真乃、風野灯織、八宮めぐる、月岡恋鐘、田中摩美々、白瀬咲耶、三峰結華、幽谷霧子、小宮果穂、園田智代子、西城樹里、杜野凛世、有栖川夏葉、大崎甘奈、大崎甜花、桑山千雪、芹沢あさひ、黛冬優子、和泉愛依、浅倉透、樋口円香、福丸小糸、市川雛菜、七草にちか、緋田美琴、斑鳩ルカ、鈴木羽那、郁田はるき)	all	sc			imasdb-2bda5b2a321e			unmatched	
sc_感謝のコントレイル_game_size	感謝のコントレイル (Game Size)	感謝のコントレイル	Game Size	RUCCA、BlasTrain(Rap詞)	RUCCA;BlasTrain(Rap詞)	菊池博人(KEYTONE)、小池竜暉、Hayato Yamamoto、YUUKI SANO	菊池博人(KEYTONE);小池竜暉;Hayato Yamamoto;YUUKI SANO	七草にちか、三峰結華、八宮めぐる、和泉愛依、園田智代子、大崎甘奈、大崎甜花、小宮果穂、市川雛菜、幽谷霧子、斑鳩ルカ、月岡恋鐘、有栖川夏葉、杜野凛世、桑山千雪、樋口円香、櫻木真乃、浅倉透、田中摩美々、白瀬咲耶、福丸小糸、緋田美琴、芹沢あさひ、西城樹里、郁田はるき、鈴木羽那、風野灯織、黛冬優子	all	sc	sc_感謝のコントレイル	1	imasdb-e60a5a523698			unmatched	
