song_id	title	artist	setlist_count	lyrics_url	candidate_url	candidate_title	confidence	note
cg_夕映えプレゼント	夕映えプレゼント	CINDERELLA PROJECT [島村卯月、渋谷凛、本田未央、双葉杏、三村かな子、城ヶ崎莉嘉、神崎蘭子、前川みく、諸星きらり、多田李衣菜、赤城みりあ、新田美波、緒方智絵里、アナスタシア	18					
ml_blue_symphony	Blue Symphony	如月千早、北沢志保、田中琴葉、所恵美	18					
ml_fairytaleじゃいられない	FairyTaleじゃいられない	フェアリースターズ（最上静香、白石紬、所恵美、ジュリア、北沢志保）	18					
ml_rebellion	Rebellion	我那覇響	18					
ml_恋のlesson初級編	恋のLesson初級編	伊吹翼	18					
sc_twinkle_way	Twinkle way	イルミネーションスターズ（櫻木真乃、風野灯織、八宮めぐる）	18					
sidem_café_parade	Café Parade!	Café Parade（神谷幸広、東雲荘一郎、アスラン＝ベルゼビュートⅡ世、卯月巻緒、水嶋咲）	18					
sidem_mission_is_ピースフル	MISSION is ピースフル！	FRAME（握野英雄、木村龍、信玄誠司）	18					
sidem_next_stage	NEXT STAGE！	(SideM NEW STAGE共通曲)	18					
sidem_夢色voyager	夢色VOYAGER	F-LAGS（秋月涼、九十九一希、兜大吾）	18					
765as_music	MUSIC♪	765PRO ALLSTARS	17					
765as_キミはメロディ	キミはメロディ	三浦あずさ、四条貴音、如月千早、星井美希、高槻やよい、双海亜美/真美	17					
765as_スマイル体操	スマイル体操	高槻やよい	17					
cg_absolute_nine	Absolute NIne	THE IDOLM@STER CINDERELLA GIRLS!!（塩見周子、高垣楓、渋谷凛、前川みく、一ノ瀬志希、島村卯月、相葉夕美、城ヶ崎美嘉、向井拓海）	17					
cg_mgic	M@GIC☆	CINDERELLA PROJECT [島村卯月、渋谷凛、本田未央、双葉杏、三村かな子、城ヶ崎莉嘉、神崎蘭子、前川みく、諸星きらり、多田李衣菜、赤城みりあ、新田美波、緒方智絵里、アナスタシア	17					
cg_treasure	Treasure☆	島村卯月、渋谷凛、城ヶ崎美嘉、本田未央、多田李衣菜	17					
